  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time,,ins_tot,quick_tot,sel_tot,merg_tot
0,0,0,2,1,0,4,0,0,1,1,0,1,,#NAVN?,,,
1,0,0,1,1,0,1,0,0,1,1,0,1,,,,,
2,3,1,20,4,1,3,1,1,2,10,2,3,,,,,
3,5,1,2,8,4,3,3,2,2,22,5,6,,,,,
4,9,2,2,9,4,4,6,3,3,32,8,8,,,,,
5,11,2,3,15,9,6,10,4,3,47,12,9,,,,,
6,21,6,3,17,5,10,15,5,3,60,16,10,,,,,
7,27,8,3,20,10,5,21,6,5,73,20,17,,,,,
8,42,15,7,33,11,7,28,7,3,84,24,13,,,,,
9,54,20,3,31,13,9,36,8,5,102,29,14,,,,,
10,70,27,6,33,14,6,45,9,5,118,34,15,,,,,
11,82,32,7,39,15,6,55,10,6,134,39,17,,,,,
12,90,35,8,42,23,7,66,11,6,148,44,19,,,,,
13,112,45,10,55,28,9,78,12,8,164,49,21,,,,,
14,120,48,1477,58,31,16,91,13,8,178,54,23,,,,,
15,136,55,12,57,29,9,105,14,10,192,59,28,,,,,
16,142,57,14,72,41,10,120,15,14,204,64,28,,,,,
17,168,69,26,84,51,24,136,16,23,225,70,44,,,,,
18,186,77,28,78,37,25,153,17,29,244,76,93,,,,,
19,192,79,17,82,48,12,171,18,4349,263,82,226,,,,,
20,231,98,16,110,46,46,190,19,15,280,88,31,,,,,
21,269,116,23,122,52,39,210,20,16,299,94,37,,,,,
22,311,136,24,139,67,16,231,21,18,316,100,35,,,,,
23,339,149,25,112,46,13,253,22,115,333,106,36,,,,,
24,367,162,32,126,62,16,276,23,21,348,112,40,,,,,
25,399,177,30,118,49,14,300,24,23,367,118,42,,,,,
26,425,189,33,130,68,17,325,25,28,384,124,43,,,,,
27,473,212,42,142,67,17,351,26,23,401,130,43,,,,,
28,485,217,282,150,66,29,378,27,55,416,136,74,,,,,
29,499,223,39,157,69,19,406,28,34,433,142,34,,,,,
30,513,229,38,178,90,26,435,29,31,448,148,12,,,,,
31,539,241,1780,152,80,33,465,30,36,463,154,14,,,,,
32,563,252,76,177,86,7,496,31,41,476,160,20,,,,,
33,589,264,41,188,102,7,528,32,42,500,167,14,,,,,
34,645,291,43,191,98,7,561,33,39,522,174,17,,,,,
35,661,298,39,208,113,7,595,34,38,544,181,13,,,,,
36,717,325,43,203,101,6,630,35,39,564,188,12,,,,,
37,775,353,45,234,102,7,666,36,43,586,195,18,,,,,
38,833,381,62,216,89,8,703,37,53,606,202,20,,,,,
39,841,384,57,238,135,9,741,38,57,626,209,19,,,,,
40,920,423,61,268,144,10,780,39,59,644,216,22,,,,,
41,976,450,69,239,124,9,820,40,58,666,223,18,,,,,
42,1020,471,66,245,127,8,861,41,63,686,230,22,,,,,
43,1080,500,74,253,104,9,903,42,65,706,237,20,,,,,
44,1092,505,71,307,147,11,946,43,89,724,244,26,,,,,
45,1120,518,76,254,125,11,990,44,71,744,251,23,,,,,
46,1164,539,77,258,131,9,1035,45,74,762,258,18,,,,,
47,1224,568,114,268,132,10,1081,46,79,780,265,22,,,,,
48,1274,592,132,274,138,11,1128,47,144,796,272,23,,,,,
49,1358,633,88,322,148,10,1176,48,138,818,279,24,,,,,
50,1436,671,92,302,154,10,1225,49,115,838,286,23,,,,,
51,1456,680,216,311,171,9,1275,50,170,858,293,25,,,,,
52,1462,682,218,354,218,12,1326,51,94,876,300,25,,,,,
53,1500,700,88,333,186,9,1378,52,192,896,307,23,,,,,
54,1604,751,102,411,225,11,1431,53,93,914,314,23,,,,,
55,1700,798,111,347,141,10,1485,54,101,932,321,23,,,,,
56,1772,833,106,356,160,13,1540,55,109,948,328,22,,,,,
57,1820,856,159,343,152,11,1596,56,112,968,335,29,,,,,
58,1902,896,146,369,169,11,1653,57,209,986,342,36,,,,,
59,2018,953,148,465,147,8,1711,58,118,1004,349,30,,,,,
60,2040,963,124,460,189,61,1770,59,105,1020,356,25,,,,,
61,2138,1011,135,455,193,12,1830,60,126,1038,363,29,,,,,
62,2200,1041,148,373,183,15,1891,61,264,1054,370,45,,,,,
63,2214,1047,144,432,255,14,1953,62,134,1070,377,31,,,,,
64,2262,1070,511,426,243,14,2016,63,137,1084,384,31,,,,,
65,2282,1079,868,440,263,15,2080,64,146,1111,392,30,,,,,
66,2384,1129,155,482,264,14,2145,65,145,1136,400,32,,,,,
67,2508,1190,160,457,171,12,2211,66,146,1161,408,44,,,,,
68,2640,1255,174,629,252,17,2278,67,177,1184,416,33,,,,,
69,2768,1318,177,478,200,14,2346,68,144,1209,424,36,,,,,
70,2900,1383,361,666,319,17,2415,69,166,1232,432,16,,,,,
71,3008,1436,194,471,173,14,2485,70,150,1255,440,14,,,,,
72,3010,1436,190,544,245,18,2556,71,171,1276,448,15,,,,,
73,3146,1503,215,509,215,16,2628,72,177,1301,456,16,,,,,
74,3236,1547,247,466,240,15,2701,73,168,1324,464,38,,,,,
75,3368,1612,248,519,207,16,2775,74,2504,1347,472,45,,,,,
76,3416,1635,212,531,254,16,2850,75,179,1368,480,12,,,,,
77,3424,1638,210,572,336,14,2926,76,209,1391,488,12,,,,,
78,3496,1673,211,568,297,16,3003,77,209,1412,496,13,,,,,
79,3632,1740,236,564,279,16,3081,78,247,1433,504,12,,,,,
80,3642,1744,238,650,324,17,3160,79,97,1452,512,12,,,,,
81,3722,1783,244,640,388,34,3240,80,88,1477,520,15,,,,,
82,3768,1805,246,579,334,19,3321,81,56,1500,528,12,,,,,
83,3870,1855,752,526,264,14,3403,82,53,1523,536,12,,,,,
84,3880,1859,252,625,372,18,3486,83,44,1544,544,12,,,,,
85,3970,1903,265,571,312,17,3570,84,57,1567,552,14,,,,,
86,4024,1929,1115,601,327,19,3655,85,65,1588,560,14,,,,,
87,4114,1973,81,613,332,35,3741,86,59,1609,568,14,,,,,
88,4192,2011,73,668,373,19,3828,87,56,1628,576,12,,,,,
89,4264,2046,70,705,423,27,3916,88,53,1651,584,13,,,,,
90,4374,2100,68,657,326,9,4005,89,531,1672,592,16,,,,,
91,4400,2112,65,687,417,166,4095,90,59,1693,600,18,,,,,
92,4428,2125,69,702,428,10,4186,91,73,1712,608,15,,,,,
93,4514,2167,81,671,353,9,4278,92,66,1733,616,18,,,,,
94,4594,2206,79,696,377,11,4371,93,76,1752,624,18,,,,,
95,4610,2213,942,751,469,10,4465,94,67,1771,632,15,,,,,
96,4762,2288,87,728,376,9,4560,95,4962,1788,640,30,,,,,
97,4846,2329,101,685,347,11,4656,96,75,1813,648,18,,,,,
98,5038,2424,92,839,409,10,4753,97,155,1836,656,16,,,,,
99,5208,2508,84,811,359,13,4851,98,82,1859,664,16,,,,,
100,5332,2569,81,742,416,12,4950,99,14,1880,672,18,,,,,
