  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time
  0,             0,               0,              2,         1,           0,          1,             0,               0,              0,         1,           0,          1
  1,             0,               0,              0,         1,           0,          0,             0,               0,              0,         1,           0,          1
  2,             2,               0,              1,         4,           2,          2,             1,               1,              1,        10,           2,          3
  3,             4,               0,              1,         8,           5,          2,             3,               2,              1,        22,           5,          4
  4,             8,               1,              2,         9,           5,          2,             6,               3,              1,        32,           8,          4
  5,            10,               1,              2,        15,          10,          4,            10,               4,              1,        47,          12,          6
  6,            18,               4,              2,        15,           7,          3,            15,               5,              2,        60,          16,         11
  7,            24,               6,              7,        23,          12,          8,            21,               6,              7,        73,          20,          8
  8,            26,               6,              2,        32,          20,          5,            28,               7,              5,        84,          24,         18
  9,            28,               6,             10,        42,          29,         10,            36,               8,              5,       102,          29,         20
 10,            32,               7,              3,        43,          29,          6,            45,               9,              3,       118,          34,         13
 11,            36,               8,              3,        54,          39,          6,            55,              10,              4,       134,          39,         11
 12,            38,               8,              3,        67,          51,          8,            66,              11,              4,       148,          44,         12
 13,            40,               8,              9,        81,          64,         12,            78,              12,              7,       164,          49,         25
 14,            42,               8,              6,        96,          78,         17,            91,              13,              9,       178,          54,         28
 15,            44,               8,              7,        97,          78,         14,           105,              14,              9,       192,          59,         29
 16,            46,               8,              8,       114,          94,         16,           120,              15,             10,       204,          64,         29
 17,            48,               8,              7,       132,         111,         18,           136,              16,             11,       225,          70,         27
 18,            50,               8,              9,       151,         129,         21,           153,              17,             15,       244,          76,         42
 19,            54,               9,              7,       152,         129,         20,           171,              18,             14,       263,          82,         33
 20,            56,               9,              7,       173,         149,         22,           190,              19,             15,       280,          88,         33
 21,            58,               9,              7,       195,         170,         25,           210,              20,             16,       299,          94,         45
 22,            60,               9,              8,       218,         192,         51,           231,              21,             17,       316,         100,         37
 23,            62,               9,             26,       242,         215,         33,           253,              22,             22,       333,         106,         39
 24,            64,               9,              8,       267,         239,         36,           276,              23,             20,       348,         112,         47
 25,            66,               9,              8,       293,         264,         74,           300,              24,             22,       367,         118,         74
 26,            68,               9,              9,       320,         290,         55,           325,              25,             28,       384,         124,         49
 27,            70,               9,             20,       348,         317,        151,           351,              26,             26,       401,         130,        106
 28,            74,              10,              9,       349,         317,         18,           378,              27,             27,       416,         136,         67
 29,            78,              11,              9,       378,         345,         16,           406,              28,             33,       433,         142,         51
 30,            80,              11,             12,       409,         375,         38,           435,              29,             31,       448,         148,         50
 31,            82,              11,             11,       441,         406,         14,           465,              30,             36,       463,         154,         49
 32,            84,              11,              7,       474,         438,         16,           496,              31,             37,       476,         160,         63
 33,            86,              11,              8,       508,         471,         17,           528,              32,             39,       500,         167,         54
 34,            88,              11,              8,       543,         505,         18,           561,              33,             38,       522,         174,         38
 35,            92,              12,              8,       544,         505,         17,           595,              34,             43,       544,         181,         15
 36,            96,              13,             13,       548,         507,         17,           630,              35,             46,       564,         188,         15
 37,           100,              14,              9,       582,         541,         19,           666,              36,             45,       586,         195,         15
 38,           110,              18,             10,       559,         513,         17,           703,              37,             52,       606,         202,         19
 39,           112,              18,             10,       599,         552,         19,           741,              38,             55,       626,         209,         15
 40,           114,              18,             10,       640,         592,         21,           780,              39,             56,       644,         216,         19
 41,           116,              18,             11,       682,         633,         22,           820,              40,             57,       666,         223,         17
 42,           118,              18,              9,       725,         675,         27,           861,              41,             60,       686,         230,         21
 43,           122,              19,             11,       726,         675,         23,           903,              42,             64,       706,         237,         18
 44,           126,              20,             10,       770,         718,         23,           946,              43,             66,       724,         244,         21
 45,           130,              21,             14,       815,         762,         26,           990,              44,             69,       744,         251,         22
 46,           132,              21,             10,       862,         808,         28,          1035,              45,             71,       762,         258,         20
 47,           134,              21,             12,       910,         855,         29,          1081,              46,             75,       780,         265,         16
 48,           136,              21,             11,       959,         903,         16,          1128,              47,             50,       796,         272,         12
 49,           138,              21,              8,      1009,         952,         17,          1176,              48,             55,       818,         279,         11
 50,           142,              22,             20,      1010,         952,         17,          1225,              49,             56,       838,         286,         10
 51,           144,              22,              7,      1062,        1003,         18,          1275,              50,             58,       858,         293,         12
 52,           146,              22,              9,      1115,        1055,         37,          1326,              51,             88,       876,         300,         24
 53,           150,              23,             12,      1116,        1055,         35,          1378,              52,             94,       896,         307,         26
 54,           154,              24,             12,      1170,        1108,         36,          1431,              53,             98,       914,         314,         22
 55,           156,              24,             13,      1226,        1163,         41,          1485,              54,            103,       932,         321,         28
 56,           160,              25,             13,      1227,        1163,         35,          1540,              55,            110,       948,         328,         29
 57,           162,              25,             13,      1285,        1220,         40,          1596,              56,            108,       968,         335,         26
 58,           164,              25,             14,      1344,        1278,         42,          1653,              57,            113,       986,         342,         27
 59,           166,              25,             17,      1404,        1337,         47,          1711,              58,            116,      1004,         349,         30
 60,           170,              26,             15,      1405,        1337,         41,          1770,              59,            118,      1020,         356,         40
 61,           172,              26,             15,      1467,        1398,         27,          1830,              60,            127,      1038,         363,         27
 62,           174,              26,             15,      1468,        1398,         11,          1891,              61,            131,      1054,         370,         28
 63,           176,              26,             16,      1532,        1461,         12,          1953,              62,            133,      1070,         377,         29
 64,           178,              26,             16,      1597,        1525,         12,          2016,              63,            136,      1084,         384,         28
 65,           180,              26,             18,      1663,        1590,         14,          2080,              64,            136,      1111,         392,         30
 66,           182,              26,             16,      1730,        1656,         12,          2145,              65,            149,      1136,         400,         30
 67,           184,              26,             15,      1798,        1723,         13,          2211,              66,            172,      1161,         408,         34
 68,           188,              27,             17,      1799,        1723,         13,          2278,              67,            156,      1184,         416,         32
 69,           194,              29,             17,      1803,        1725,         14,          2346,              68,            171,      1209,         424,         33
 70,           200,              31,             19,      1872,        1792,         14,          2415,              69,            158,      1232,         432,         38
 71,           202,              31,             16,      1944,        1863,         14,          2485,              70,            163,      1255,         440,         33
