 n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time
 0,             0,               0,              2,         1,           0,          1,             0,               0,              1,         1,           0,          1
 1,             0,               0,              0,         1,           0,          0,             0,               0,              0,         1,           0,          1
 2,             2,               0,              1,         4,           2,          2,             1,               1,              1,        10,           2,          3
 3,             4,               0,              1,         8,           5,          3,             3,               2,              1,        22,           5,          4
 4,             6,               0,              1,        13,           9,          4,             6,               3,              2,        32,           8,          6
 5,             8,               0,              1,        19,          14,          5,            10,               4,              3,        47,          12,          9
 6,            12,               1,              2,        18,          10,          4,            15,               5,              9,        60,          16,          8
 7,            20,               4,              2,        23,          12,          4,            21,               6,              3,        73,          20,         14
 8,            22,               4,              2,        32,          20,          6,            28,               7,              4,        84,          24,         13
 9,            24,               4,              3,        42,          29,          7,            36,               8,              3,       102,          29,         12
10,            26,               4,              3,        43,          29,          6,            45,               9,             21,       118,          34,         25
