  n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, selection_cmp, selection_swaps, selection_time, merge_cmp, merge_swaps, merge_time
  0,             0,               0,              1,         1,           0,          1,             0,               0,              0,         1,           0,          1
  1,             0,               0,              0,         1,           0,          1,             0,               0,              1,         1,           0,          1
  2,             3,               1,              2,         4,           1,          2,             1,               1,              1,        10,           2,          3
  3,             5,               1,              1,         8,           4,          3,             3,               2,              2,        22,           5,          5
  4,             9,               2,              2,         9,           4,          3,             6,               3,              2,        32,           8,          7
  5,            11,               2,              3,        15,           9,          6,            10,               4,              3,        47,          12,         12
  6,            21,               6,              4,        17,           5,          4,            15,               5,              2,        60,          16,          7
  7,            27,               8,              4,        20,          10,          4,            21,               6,              5,        73,          20,         12
  8,            42,              15,              3,        33,          11,          4,            28,               7,              3,        84,          24,         14
  9,            54,              20,              3,        31,          13,          5,            36,               8,              3,       102,          29,         10
 10,            70,              27,              4,        33,          14,          7,            45,               9,              5,       118,          34,         17
 11,            82,              32,              5,        39,          15,          5,            55,              10,              4,       134,          39,         11
 12,            90,              35,              5,        42,          23,          5,            66,              11,              4,       148,          44,         19
 13,           112,              45,              7,        55,          28,         10,            78,              12,              8,       164,          49,         21
 14,           120,              48,             10,        58,          31,         14,            91,              13,              9,       178,          54,         23
 15,           136,              55,             13,        57,          29,          9,           105,              14,             10,       192,          59,         27
 16,           142,              57,             14,        72,          41,         11,           120,              15,             11,       204,          64,         26
 17,           168,              69,             14,        84,          51,         13,           136,              16,             11,       225,          70,         27
 18,           186,              77,             15,        78,          37,         15,           153,              17,             15,       244,          76,         51
 19,           192,              79,             16,        82,          48,         12,           171,              18,             15,       263,          82,         36
 20,           231,              98,             18,       110,          46,         17,           190,              19,             14,       280,          88,         35
 21,           269,             116,             25,       122,          52,         15,           210,              20,             16,       299,          94,         43
 22,           311,             136,             25,       139,          67,         17,           231,              21,             18,       316,         100,         43
 23,           339,             149,             26,       112,          46,         15,           253,              22,             23,       333,         106,         60
 24,           367,             162,             32,       126,          62,         81,           276,              23,             21,       348,         112,         38
 25,           399,             177,             30,       118,          49,         16,           300,              24,             23,       367,         118,         38
 26,           425,             189,             32,       130,          68,         41,           325,              25,             26,       384,         124,         48
 27,           473,             212,             39,       142,          67,         17,           351,              26,             27,       401,         130,         44
 28,           485,             217,             38,       150,          66,         17,           378,              27,             29,       416,         136,         44
 29,           499,             223,             41,       157,          69,         18,           406,              28,             33,       433,         142,         48
 30,           513,             229,             39,       178,          90,         19,           435,              29,             32,       448,         148,         53
 31,           539,             241,             43,       152,          80,         18,           465,              30,             39,       463,         154,         50
 32,           563,             252,             46,       177,          86,         22,           496,              31,             36,       476,         160,         55
 33,           589,             264,             45,       188,         102,         21,           528,              32,             41,       500,         167,         55
 34,           645,             291,             62,       191,          98,         25,           561,              33,             41,       522,         174,         58
 35,           661,             298,             49,       208,         113,         23,           595,              34,             48,       544,         181,         68
 36,           717,             325,             57,       203,         101,         24,           630,              35,             48,       564,         188,         62
 37,           775,             353,             57,       234,         102,         24,           666,              36,             46,       586,         195,         66
 38,           833,             381,             62,       216,          89,         24,           703,              37,             52,       606,         202,         35
 39,           841,             384,             55,       238,         135,         27,           741,              38,             55,       626,         209,         20
 40,           920,             423,             61,       268,         144,         32,           780,              39,             57,       644,         216,         16
 41,           976,             450,             66,       239,         124,         23,           820,              40,             53,       666,         223,         19
 42,          1020,             471,             68,       245,         127,         26,           861,              41,             62,       686,         230,         21
 43,          1080,             500,             75,       253,         104,         33,           903,              42,             65,       706,         237,         19
 44,          1092,             505,             73,       307,         147,         32,           946,              43,             67,       724,         244,         21
 45,          1120,             518,             71,       254,         125,         31,           990,              44,             70,       744,         251,         25
 46,          1164,             539,             73,       258,         131,         25,          1035,              45,            119,       762,         258,         84
 47,          1224,             568,             80,       268,         132,         13,          1081,              46,             78,       780,         265,         23
 48,          1274,             592,             72,       274,         138,          6,          1128,              47,             53,       796,         272,         13
 49,          1358,             633,             60,       322,         148,          6,          1176,              48,             83,       818,         279,         46
 50,          1436,             671,             98,       302,         154,         15,          1225,              49,             84,       838,         286,         26
 51,          1456,             680,             67,       311,         171,          7,          1275,              50,             59,       858,         293,         14
 52,          1462,             682,             78,       354,         218,         10,          1326,              51,            180,       876,         300,         22
 53,          1500,             700,             98,       333,         186,         12,          1378,              52,            100,       896,         307,         23
 54,          1604,             751,            112,       411,         225,         13,          1431,              53,            101,       914,         314,         26
 55,          1700,             798,            114,       347,         141,         11,          1485,              54,            102,       932,         321,         26
 56,          1772,             833,            120,       356,         160,         12,          1540,              55,            105,       948,         328,         25
 57,          1820,             856,            121,       343,         152,         11,          1596,              56,            107,       968,         335,         23
 58,          1902,             896,            128,       369,         169,         12,          1653,              57,            111,       986,         342,         23
 59,          2018,             953,            132,       465,         147,         13,          1711,              58,            113,      1004,         349,         48
 60,          2040,             963,            132,       460,         189,         10,          1770,              59,            123,      1020,         356,         26
 61,          2138,            1011,            144,       455,         193,         14,          1830,              60,            124,      1038,         363,         29
 62,          2200,            1041,            145,       373,         183,         13,          1891,              61,            130,      1054,         370,         29
 63,          2214,            1047,            152,       432,         255,         17,          1953,              62,            132,      1070,         377,         29
 64,          2262,            1070,            148,       426,         243,         14,          2016,              63,            139,      1084,         384,         30
 65,          2282,            1079,            151,       440,         263,         13,          2080,              64,            147,      1111,         392,         25
 66,          2384,            1129,            154,       482,         264,         14,          2145,              65,            144,      1136,         400,         30
 67,          2508,            1190,            166,       457,         171,         13,          2211,              66,            149,      1161,         408,         32
 68,          2640,            1255,            178,       629,         252,         17,          2278,              67,            150,      1184,         416,         33
 69,          2768,            1318,            182,       478,         200,         14,          2346,              68,            159,      1209,         424,         30
 70,          2900,            1383,            192,       666,         319,         20,          2415,              69,            164,      1232,         432,         36
 71,          3008,            1436,            202,       471,         173,         14,          2485,              70,            166,      1255,         440,         30
 72,          3010,            1436,            200,       544,         245,         16,          2556,              71,            169,      1276,         448,         36
 73,          3146,            1503,            208,       509,         215,         17,          2628,              72,            178,      1301,         456,         31
 74,          3236,            1547,            216,       466,         240,         14,          2701,              73,            178,      1324,         464,         38
 75,          3368,            1612,            229,       519,         207,         15,          2775,              74,            412,      1347,         472,         39
 76,          3416,            1635,            219,       531,         254,         16,          2850,              75,            179,      1368,         480,         36
 77,          3424,            1638,            227,       572,         336,         18,          2926,              76,            194,      1391,         488,         35
 78,          3496,            1673,            239,       568,         297,         18,          3003,              77,            210,      1412,         496,         17
 79,          3632,            1740,            246,       564,         279,         17,          3081,              78,            207,      1433,         504,         20
 80,          3642,            1744,            255,       650,         324,         19,          3160,              79,            130,      1452,         512,         17
 81,          3722,            1783,            249,       640,         388,         19,          3240,              80,            108,      1477,         520,         24
 82,          3768,            1805,            255,       579,         334,         20,          3321,              81,             99,      1500,         528,         19
 83,          3870,            1855,            255,       526,         264,         19,          3403,              82,             80,      1523,         536,         17
 84,          3880,            1859,            253,       625,         372,         19,          3486,              83,             71,      1544,         544,         20
 85,          3970,            1903,            265,       571,         312,         17,          3570,              84,             57,      1567,         552,         17
 86,          4024,            1929,            261,       601,         327,         18,          3655,              85,             56,      1588,         560,         19
 87,          4114,            1973,            280,       613,         332,         19,          3741,              86,             66,      1609,         568,         19
 88,          4192,            2011,            280,       668,         373,         20,          3828,              87,             64,      1628,         576,         21
 89,          4264,            2046,            274,       705,         423,         21,          3916,              88,             63,      1651,         584,         50
 90,          4374,            2100,            283,       657,         326,         19,          4005,              89,             64,      1672,         592,         17
 91,          4400,            2112,            306,       687,         417,         20,          4095,              90,             67,      1693,         600,         18
 92,          4428,            2125,            330,       702,         428,         33,          4186,              91,             67,      1712,         608,         15
 93,          4514,            2167,            108,       671,         353,         20,          4278,              92,             73,      1733,         616,         20
 94,          4594,            2206,            180,       696,         377,         21,          4371,              93,             77,      1752,         624,         15
 95,          4610,            2213,            102,       751,         469,         24,          4465,              94,             71,      1771,         632,         16
 96,          4762,            2288,             83,       728,         376,         21,          4560,              95,             70,      1788,         640,         17
 97,          4846,            2329,             83,       685,         347,         30,          4656,              96,             74,      1813,         648,         15
 98,          5038,            2424,             93,       839,         409,         24,          4753,              97,             81,      1836,         656,         15
 99,          5208,            2508,             92,       811,         359,         23,          4851,              98,             77,      1859,         664,         19
100,          5332,            2569,             90,       742,         416,         26,          4950,              99,             82,      1880,         672,         19
